Crop,Country,District,Year,Month,Rainfall_mm,Temperature_C,Fertilizer,N,P,K,Yield_t_per_ha
Sugarcane,Sri Lanka,Anuradhapura,2019,2,68.44,28.81,73.84,47.81,26.55,21.98,78.58
Sugarcane,Sri Lanka,Kurunegala,2022,5,138.4,27.35,82.8,62.63,22.05,19.88,77.98
Cinnamon,Sri Lanka,Matara,2020,2,130.11,24.3,80.35,63.7,24.63,16.52,0.63
Sugarcane,Sri Lanka,Kurunegala,2021,5,103.69,37.26,82.84,72.16,22.66,23.66,80.42
Rubber,Sri Lanka,Kegalle,2021,1,177.96,31.0,77.02,74.29,31.29,19.61,1.53
Rice,Sri Lanka,Polonnaruwa,2024,8,245.55,32.52,79.91,63.67,23.59,21.01,4.74
Cinnamon,Sri Lanka,Galle,2022,3,108.37,26.88,76.69,45.0,25.39,15.13,0.67
Rice,Sri Lanka,Kurunegala,2023,11,105.73,31.92,83.96,65.13,26.66,20.36,4.73
Tea,Sri Lanka,Matara,2021,5,265.12,23.01,90.37,61.81,25.22,17.93,2.44
Cinnamon,Sri Lanka,Matara,2020,10,168.64,25.35,73.39,54.28,20.42,16.91,0.58
Rice,Sri Lanka,Polonnaruwa,2020,10,151.65,27.15,75.76,53.25,18.0,18.07,4.56
Tea,Sri Lanka,Matara,2025,1,227.98,22.42,77.69,71.12,29.38,18.87,2.3
Cinnamon,Sri Lanka,Kalutara,2024,5,229.82,27.07,72.29,57.22,18.29,19.34,0.5
Cinnamon,Sri Lanka,Galle,2017,4,171.6,31.65,81.92,55.44,20.42,15.0,0.82
Tea,Sri Lanka,Kandy,2023,5,254.39,25.16,77.56,52.02,20.65,15.0,1.95
Cinnamon,Sri Lanka,Kalutara,2018,5,190.32,29.99,79.25,50.88,23.55,15.83,0.49
Tea,Sri Lanka,Matara,2015,1,148.96,20.74,75.28,56.03,22.3,20.11,1.93
Rice,Sri Lanka,Batticaloa,2017,6,229.38,28.05,77.76,62.41,20.38,18.54,4.08
Rubber,Sri Lanka,Kegalle,2024,7,187.55,33.25,77.83,66.79,22.03,15.9,1.57
Rubber,Sri Lanka,Galle,2015,5,182.13,28.35,83.95,64.82,22.02,18.3,1.6
Tea,Sri Lanka,Badulla,2017,12,231.5,23.64,77.54,50.44,22.98,15.54,2.09
Rubber,Sri Lanka,Matara,2021,8,200.01,32.08,72.51,47.44,27.9,18.24,1.59
Cinnamon,Sri Lanka,Galle,2023,10,143.16,25.29,74.07,58.81,18.0,17.98,0.67
Sugarcane,Sri Lanka,Kurunegala,2016,9,100.81,36.79,73.18,57.42,20.59,17.51,70.58
Cinnamon,Sri Lanka,Galle,2020,3,109.4,26.12,69.4,56.77,21.85,18.27,0.65
Cinnamon,Sri Lanka,Galle,2015,12,136.3,23.52,73.04,53.64,21.0,16.31,0.8
Sugarcane,Sri Lanka,Anuradhapura,2021,8,143.39,33.85,80.52,62.17,26.84,15.0,68.77
Rubber,Sri Lanka,Matara,2015,9,192.11,30.02,80.01,60.71,26.15,26.73,1.44
Cinnamon,Sri Lanka,Kalutara,2024,11,137.18,28.31,75.29,65.61,23.74,18.55,0.62
Sugarcane,Sri Lanka,Anuradhapura,2016,10,71.41,30.92,76.14,60.12,18.85,19.36,66.38
Cinnamon,Sri Lanka,Galle,2018,12,162.86,22.68,72.97,56.04,25.68,21.36,0.61
Rubber,Sri Lanka,Galle,2017,6,210.83,29.15,77.33,61.87,25.17,21.29,1.49
Tea,Sri Lanka,Matara,2017,12,165.22,15.84,82.18,73.06,22.79,15.0,2.53
Rice,Sri Lanka,Polonnaruwa,2022,7,210.88,27.23,80.74,71.33,22.0,19.35,5.24
Tea,Sri Lanka,Nuwara Eliya,2020,4,133.3,20.51,83.83,65.14,31.04,24.02,2.36
Tea,Sri Lanka,Ratnapura,2018,6,290.35,26.31,87.28,80.05,30.2,25.12,2.11
Tea,Sri Lanka,Kandy,2023,10,215.42,21.24,77.2,62.92,28.42,19.24,2.19
Sugarcane,Sri Lanka,Kurunegala,2015,10,75.23,27.74,74.48,70.1,18.93,15.29,78.45
Rice,Sri Lanka,Batticaloa,2017,1,122.24,28.47,81.96,64.68,18.0,22.32,4.16
Rice,Sri Lanka,Polonnaruwa,2015,12,148.45,29.93,74.3,49.31,27.43,22.8,4.29
Tea,Sri Lanka,Matara,2019,6,197.88,24.78,74.67,55.22,18.76,21.14,1.87
Rubber,Sri Lanka,Matara,2018,9,201.44,29.17,74.15,56.24,18.0,22.71,1.48
Tea,Sri Lanka,Ratnapura,2024,4,171.64,22.57,74.43,57.32,23.99,19.3,2.26
Tea,Sri Lanka,Nuwara Eliya,2024,9,231.45,19.77,76.42,70.72,19.05,23.61,2.28
Cinnamon,Sri Lanka,Matara,2023,2,148.41,26.38,87.45,75.38,21.22,23.42,0.61
Cinnamon,Sri Lanka,Matara,2021,6,220.58,27.85,72.08,58.38,25.44,19.2,0.47
Sugarcane,Sri Lanka,Kurunegala,2024,12,89.64,30.3,76.24,57.66,24.19,20.92,76.85
Sugarcane,Sri Lanka,Polonnaruwa,2020,6,115.19,25.52,68.55,53.71,21.13,15.0,76.64
Cinnamon,Sri Lanka,Galle,2024,9,136.6,24.64,88.75,62.99,24.73,15.0,0.6
Cinnamon,Sri Lanka,Kalutara,2017,4,106.67,26.07,78.51,71.29,25.08,20.23,0.61
Sugarcane,Sri Lanka,Anuradhapura,2022,10,105.57,32.41,75.98,61.39,20.43,25.91,74.08
Sugarcane,Sri Lanka,Kurunegala,2016,1,64.09,32.17,82.01,68.83,32.0,19.46,74.28
Rubber,Sri Lanka,Kalutara,2017,5,208.28,27.93,81.38,70.94,23.44,21.69,1.63
Tea,Sri Lanka,Kandy,2017,1,229.68,23.83,71.0,66.11,19.51,19.64,1.92
Rubber,Sri Lanka,Kalutara,2016,6,250.88,25.73,75.94,56.18,22.64,16.39,1.39
Tea,Sri Lanka,Matara,2023,12,256.27,16.82,74.92,67.04,20.95,17.18,2.09
Sugarcane,Sri Lanka,Kurunegala,2020,1,72.8,30.94,83.31,61.1,24.87,15.0,71.33
Rice,Sri Lanka,Polonnaruwa,2015,9,223.86,25.78,76.26,62.22,18.0,21.28,3.81
Rice,Sri Lanka,Anuradhapura,2025,11,120.18,27.85,78.87,66.35,24.95,15.0,4.71
Cinnamon,Sri Lanka,Matara,2016,9,164.17,26.56,75.3,67.0,19.16,15.0,0.78
Tea,Sri Lanka,Badulla,2025,11,195.07,18.59,77.48,57.75,19.49,15.0,2.22
Tea,Sri Lanka,Ratnapura,2015,2,137.04,22.58,81.35,58.65,27.46,18.78,2.5
Cinnamon,Sri Lanka,Kalutara,2015,4,159.8,25.91,81.86,62.18,27.1,17.89,0.61
Tea,Sri Lanka,Badulla,2021,8,241.56,23.84,74.6,54.23,21.87,21.58,2.01
Tea,Sri Lanka,Kandy,2022,4,159.31,24.45,87.87,74.05,32.0,22.85,2.17
Tea,Sri Lanka,Ratnapura,2020,5,263.1,22.59,81.03,67.56,26.32,16.73,2.27
Cinnamon,Sri Lanka,Kalutara,2021,10,132.98,25.64,81.35,56.45,28.09,22.24,0.64
Rice,Sri Lanka,Anuradhapura,2020,1,162.58,27.03,73.4,67.23,22.2,17.71,4.61
Sugarcane,Sri Lanka,Anuradhapura,2017,8,98.8,31.57,81.99,66.83,25.13,20.83,76.74
Rice,Sri Lanka,Polonnaruwa,2016,6,197.13,34.63,84.22,52.53,21.91,20.45,4.93
Tea,Sri Lanka,Badulla,2016,12,257.57,20.6,90.52,72.59,22.8,19.76,1.74
Cinnamon,Sri Lanka,Kalutara,2020,2,134.67,25.37,76.55,62.11,24.91,24.48,0.59
Sugarcane,Sri Lanka,Anuradhapura,2018,7,126.13,30.48,72.15,65.47,20.29,19.7,75.93
Rubber,Sri Lanka,Kegalle,2018,9,195.45,32.14,73.39,54.26,20.27,23.0,1.58
Sugarcane,Sri Lanka,Kurunegala,2020,8,103.34,35.46,75.06,63.6,18.4,15.77,84.22
Rice,Sri Lanka,Jaffna,2017,3,96.02,30.3,78.76,57.75,31.86,15.0,4.58
Cinnamon,Sri Lanka,Matara,2025,3,116.14,26.4,83.66,57.4,21.69,22.39,0.83
Tea,Sri Lanka,Ratnapura,2023,8,388.99,24.81,71.54,58.63,19.17,18.64,2.51
Cinnamon,Sri Lanka,Matara,2022,9,174.37,26.24,77.3,62.72,22.68,22.83,0.78
Rice,Sri Lanka,Jaffna,2017,11,102.96,28.36,70.87,61.12,18.26,17.63,3.65
Rice,Sri Lanka,Trincomalee,2021,6,202.67,25.03,74.67,55.28,23.88,16.13,4.41
Sugarcane,Sri Lanka,Anuradhapura,2016,10,86.74,34.59,91.94,80.01,27.67,26.68,70.25
Cinnamon,Sri Lanka,Galle,2025,5,190.43,28.22,74.61,49.66,18.19,24.79,0.7
Tea,Sri Lanka,Badulla,2019,12,176.23,20.83,78.15,72.36,29.48,21.23,2.32
Rubber,Sri Lanka,Kegalle,2015,5,216.63,36.57,80.26,65.95,22.12,18.01,1.46
Sugarcane,Sri Lanka,Kurunegala,2019,7,120.47,29.11,80.7,65.86,19.5,15.22,75.37
Tea,Sri Lanka,Matara,2024,10,148.16,23.54,79.99,61.56,21.77,19.53,2.21
Cinnamon,Sri Lanka,Kalutara,2022,12,170.78,26.37,73.53,57.01,22.58,18.01,0.62
Sugarcane,Sri Lanka,Polonnaruwa,2015,5,165.87,31.79,81.85,75.61,20.1,28.0,65.74
Rice,Sri Lanka,Jaffna,2016,3,99.6,23.99,84.03,69.81,24.02,22.69,4.72
Sugarcane,Sri Lanka,Anuradhapura,2025,5,93.45,34.44,68.85,61.47,18.3,22.64,71.65
Sugarcane,Sri Lanka,Anuradhapura,2025,7,135.9,31.66,79.52,64.73,23.71,20.5,78.53
Sugarcane,Sri Lanka,Anuradhapura,2021,2,71.64,25.6,84.39,73.02,26.02,16.89,80.63
Rice,Sri Lanka,Batticaloa,2016,7,208.85,31.07,76.42,59.64,23.35,28.0,4.35
Tea,Sri Lanka,Kandy,2021,6,234.34,23.6,79.84,63.16,22.95,27.81,2.51
Sugarcane,Sri Lanka,Anuradhapura,2019,3,52.78,26.06,83.57,57.02,32.0,20.33,65.57
Tea,Sri Lanka,Ratnapura,2016,9,232.27,17.08,78.15,66.04,20.63,22.04,2.02
Rubber,Sri Lanka,Kegalle,2018,3,116.35,32.73,79.04,78.09,23.43,25.19,1.59
Tea,Sri Lanka,Ratnapura,2015,2,191.73,20.02,79.58,59.4,23.27,15.0,2.3
Rubber,Sri Lanka,Matara,2019,5,268.04,30.75,76.48,60.32,18.42,18.66,1.62
Sugarcane,Sri Lanka,Polonnaruwa,2022,3,57.5,27.24,82.56,61.56,26.83,15.86,70.82
Tea,Sri Lanka,Badulla,2024,8,290.65,24.62,76.8,66.35,24.44,19.23,2.3
Sugarcane,Sri Lanka,Kurunegala,2024,10,105.83,33.04,82.22,66.81,24.65,25.67,76.33
Rice,Sri Lanka,Anuradhapura,2025,2,122.01,26.06,88.98,63.82,25.28,24.65,4.71
Tea,Sri Lanka,Nuwara Eliya,2018,4,160.26,22.86,81.28,63.86,27.27,23.62,2.31
Rice,Sri Lanka,Kurunegala,2024,9,146.59,27.12,83.03,65.06,29.69,23.23,4.64
Rubber,Sri Lanka,Kegalle,2021,11,210.0,29.46,84.59,58.01,23.89,22.46,1.49
Rice,Sri Lanka,Polonnaruwa,2018,3,86.25,26.73,63.47,48.87,18.0,15.0,3.94
Cinnamon,Sri Lanka,Kalutara,2017,10,174.6,30.08,73.94,63.52,18.0,15.0,0.58
Rubber,Sri Lanka,Matara,2021,10,181.09,30.99,82.49,72.72,18.0,19.34,1.63
Rubber,Sri Lanka,Galle,2017,11,173.97,26.35,71.81,45.0,18.0,19.45,1.46
Rubber,Sri Lanka,Ratnapura,2017,7,259.7,26.81,83.63,66.82,26.78,15.81,1.58
Tea,Sri Lanka,Nuwara Eliya,2020,7,253.97,21.69,90.31,84.53,29.5,19.7,1.87
Sugarcane,Sri Lanka,Anuradhapura,2024,2,87.79,32.31,76.37,59.82,20.74,16.22,74.71
Rubber,Sri Lanka,Ratnapura,2015,10,139.96,32.82,80.12,57.21,18.0,15.0,1.47
Rice,Sri Lanka,Polonnaruwa,2023,10,140.57,32.6,88.19,71.59,28.71,22.94,4.74
Sugarcane,Sri Lanka,Polonnaruwa,2024,1,87.19,31.6,73.64,60.85,22.66,20.68,74.45
Tea,Sri Lanka,Badulla,2020,2,130.83,24.57,74.46,65.29,28.57,16.47,2.11
Sugarcane,Sri Lanka,Anuradhapura,2018,7,152.92,34.67,79.65,55.53,32.0,25.29,79.3
Rice,Sri Lanka,Anuradhapura,2016,7,190.38,32.1,77.15,58.92,25.83,22.97,4.54
Tea,Sri Lanka,Nuwara Eliya,2015,3,105.87,18.82,77.21,60.54,22.93,15.0,2.31
Rubber,Sri Lanka,Kegalle,2022,2,138.09,29.17,78.71,61.26,21.14,21.11,1.68
Sugarcane,Sri Lanka,Polonnaruwa,2022,10,86.86,35.63,79.44,63.88,22.27,23.83,79.16
Sugarcane,Sri Lanka,Polonnaruwa,2019,5,104.23,32.78,76.62,73.39,22.39,21.27,76.55
Rubber,Sri Lanka,Galle,2015,12,198.89,29.86,79.97,62.27,21.19,23.14,1.51
Cinnamon,Sri Lanka,Matara,2022,7,218.95,26.56,76.65,81.53,25.12,21.78,0.83
Cinnamon,Sri Lanka,Matara,2018,9,176.45,25.97,78.33,58.9,27.65,17.52,0.78
Cinnamon,Sri Lanka,Matara,2023,12,150.38,21.72,80.23,71.51,30.18,18.26,0.72
Sugarcane,Sri Lanka,Kurunegala,2015,3,53.42,32.31,81.1,69.04,29.19,16.69,75.07
Tea,Sri Lanka,Ratnapura,2025,9,222.27,26.26,75.32,68.8,18.0,16.04,2.41
Tea,Sri Lanka,Matara,2015,9,198.98,22.44,77.06,64.23,23.62,17.98,2.17
Sugarcane,Sri Lanka,Anuradhapura,2015,11,75.54,31.4,81.19,67.07,22.72,15.0,75.73
Sugarcane,Sri Lanka,Polonnaruwa,2017,9,86.38,27.36,77.86,75.01,23.15,21.21,68.32
Rice,Sri Lanka,Jaffna,2025,3,96.74,23.52,80.73,62.71,23.9,19.35,4.4
